Timestamp,Instance,Algorithm,Best,Average,Worst,StdDev
2025-04-02 14:09:50,1.vrp,GeneticAlgorithm,1141.77,1186.42,1583.61,102.32
2025-04-02 14:09:50,1.vrp,RandomAlgorithm,1779.93,2218.67,2557.30,127.29
2025-04-02 14:09:50,1.vrp,GreedyAlgorithm,1341.88,1341.88,1341.88,0.00
2025-04-02 14:09:50,1.vrp,TabuSearch,1096.98,1259.78,2199.36,115.32
2025-04-02 14:09:50,1.vrp,SimulatedAnnealing,1299.99,1655.65,2514.78,321.65
2025-04-02 14:10:02,2.vrp,GeneticAlgorithm,1114.18,1148.01,1622.78,94.25
2025-04-02 14:10:02,2.vrp,RandomAlgorithm,1621.14,2117.51,2518.15,138.83
2025-04-02 14:10:02,2.vrp,GreedyAlgorithm,1146.40,1146.40,1146.40,0.00
2025-04-02 14:10:02,2.vrp,TabuSearch,871.08,1011.02,1905.43,121.28
2025-04-02 14:10:02,2.vrp,SimulatedAnnealing,1173.07,1514.37,2433.79,361.85
2025-04-02 14:10:14,3.vrp,GeneticAlgorithm,831.29,851.74,1470.04,88.05
2025-04-02 14:10:14,3.vrp,RandomAlgorithm,1378.28,1814.09,2199.75,132.48
2025-04-02 14:10:14,3.vrp,GreedyAlgorithm,978.15,978.15,978.15,0.00
2025-04-02 14:10:14,3.vrp,TabuSearch,749.75,878.27,1598.16,87.83
2025-04-02 14:10:14,3.vrp,SimulatedAnnealing,916.12,1242.46,2071.55,358.60
2025-04-02 14:10:26,4.vrp,GeneticAlgorithm,937.63,958.02,1309.14,58.92
2025-04-02 14:10:26,4.vrp,RandomAlgorithm,1376.91,1761.39,2109.24,112.73
2025-04-02 14:10:26,4.vrp,GreedyAlgorithm,1043.27,1043.27,1043.27,0.00
2025-04-02 14:10:27,4.vrp,TabuSearch,859.08,967.82,1513.58,80.49
2025-04-02 14:10:27,4.vrp,SimulatedAnnealing,975.00,1265.41,1970.89,305.65
2025-04-02 14:10:38,5.vrp,GeneticAlgorithm,925.16,942.86,1236.91,55.53
2025-04-02 14:10:38,5.vrp,RandomAlgorithm,1544.74,1954.33,2292.76,122.07
2025-04-02 14:10:38,5.vrp,GreedyAlgorithm,892.52,993.00,1054.13,54.12
2025-04-02 14:10:39,5.vrp,TabuSearch,897.10,1046.50,2070.03,137.59
2025-04-02 14:10:39,5.vrp,SimulatedAnnealing,1035.83,1377.11,2113.72,346.84
2025-04-02 14:10:52,6.vrp,GeneticAlgorithm,982.08,1000.76,1360.90,66.24
2025-04-02 14:10:52,6.vrp,RandomAlgorithm,1545.31,2085.21,2537.20,132.78
2025-04-02 14:10:52,6.vrp,GreedyAlgorithm,1103.50,1104.50,1108.52,2.01
2025-04-02 14:10:52,6.vrp,TabuSearch,948.76,1080.81,1877.86,109.00
2025-04-02 14:10:52,6.vrp,SimulatedAnnealing,1139.80,1572.94,2339.92,362.16
2025-04-02 14:11:07,7.vrp,GeneticAlgorithm,1013.23,1030.02,1415.33,66.92
2025-04-02 14:11:07,7.vrp,RandomAlgorithm,1578.45,1949.11,2301.38,113.89
2025-04-02 14:11:07,7.vrp,GreedyAlgorithm,948.55,955.32,959.84,5.53
2025-04-02 14:11:07,7.vrp,TabuSearch,832.98,990.42,1910.53,116.78
2025-04-02 14:11:07,7.vrp,SimulatedAnnealing,1049.27,1418.28,2265.94,352.30
